front,back,tags
等差数列求和公式,Sn = n(a1+an)/2 = na1 + n(n-1)d/2，其中d为公差,数学;数列
等比数列求和公式,Sn = a1(1-q^n)/(1-q)，q≠1；当q=1时，Sn=na1,数学;数列
导数定义,f'(x) = lim[Δx→0] [f(x+Δx)-f(x)]/Δx,数学;微积分
积分基本公式 ∫x^n dx,∫x^n dx = x^(n+1)/(n+1) + C，n≠-1,数学;微积分
∫(1/x)dx 是多少,∫(1/x)dx = ln|x| + C,数学;微积分
∫e^x dx,∫e^x dx = e^x + C,数学;微积分
∫sin(x)dx,∫sin(x)dx = -cos(x) + C,数学;微积分
∫cos(x)dx,∫cos(x)dx = sin(x) + C,数学;微积分
分部积分公式,∫u dv = uv - ∫v du（口诀：反对幂指三，后面的作v求积）,数学;微积分
洛必达法则,0/0或∞/∞型极限：lim f(x)/g(x) = lim f'(x)/g'(x)，前提g'(x)≠0,数学;极限
泰勒展开 e^x,e^x = 1 + x + x²/2! + x³/3! + ... + x^n/n! + o(x^n),数学;级数
泰勒展开 sin(x),sin(x) = x - x³/3! + x⁵/5! - ...（只有奇数项）,数学;级数
行列式按行展开,|A| = Σ aij·Aij（Aij为代数余子式），i固定按第i行展开,数学;线性代数
矩阵乘法条件,A为m×n矩阵，B为n×p矩阵，AB才有意义，结果为m×p矩阵,数学;线性代数
特征值定义,Ax = λx，x≠0，则λ为特征值，x为对应特征向量,数学;线性代数
正态分布 X~N(μ,σ²) 的期望和方差,E(X) = μ，D(X) = σ²,数学;概率
二项分布 X~B(n,p) 的期望和方差,E(X) = np，D(X) = np(1-p),数学;概率
泊松分布 X~P(λ) 的期望和方差,E(X) = λ，D(X) = λ（期望等于方差）,数学;概率
条件概率公式,P(A|B) = P(AB)/P(B)，P(B)>0,数学;概率
贝叶斯公式（全概率公式）,P(B|A) = P(A|B)P(B) / [P(A|B)P(B)+P(A|B̄)P(B̄)],数学;概率
