front,back,tags
哲学基本问题是什么,思维与存在的关系问题（物质与意识的关系）。包括两个方面：①谁是第一性；②思维能否正确反映存在,政治;马原;哲学
唯物论的基本观点,物质决定意识，意识是物质的反映；意识对物质有能动的反作用,政治;马原;唯物论
矛盾的两个基本属性,同一性（统一性）和斗争性。同一性是相对的，斗争性是绝对的,政治;马原;辩证法
量变和质变的关系,量变是质变的必要准备；质变是量变的必然结果；质变又引起新的量变,政治;马原;辩证法
实践的三种基本形式,①生产实践（最基本）；②改造社会的实践；③科学实验,政治;马原;认识论
真理的特性,客观性（真理的本质）；绝对性与相对性的统一；具体性（真理是具体的）,政治;马原;认识论
社会存在与社会意识的关系,社会存在决定社会意识；社会意识对社会存在有能动的反作用,政治;马原;历史唯物主义
生产力的三个要素,①劳动者（最活跃、主导因素）；②生产资料（生产工具是标志）；③劳动对象,政治;马原;历史唯物主义
上层建筑包括哪两部分,①政治上层建筑（国家政权、法律制度等）；②观念上层建筑（政治法律思想、道德、宗教、艺术等）,政治;马原;历史唯物主义
人民群众是历史的创造者——三个方面,①物质财富的创造者；②精神财富的创造者；③社会变革的决定力量,政治;马原;历史唯物主义
